index,adjusted,underlying
2014-03-13,1969.5,2931
2014-03-14,1973.5,2935
2014-03-17,2020.5,2982
2014-03-18,2054.75,3016.25
2014-03-19,2027.5,2989
2014-03-20,2057.5,3019
2014-03-21,2038.5,3000
2014-03-24,2038.5,3000
2014-03-25,2078.5,3040
2014-03-26,2087.5,3049
2014-03-27,2106.5,3068
2014-03-28,2136.5,3098
2014-03-31,2134.5,3096
2014-04-01,2160.5,3122
2014-04-02,2160.5,3122
2014-04-03,2176.5,3138
2014-04-04,2176.5,3138
2014-04-07,2152.5,3114
2014-04-08,2164,3125.5
2014-04-09,2164,3125.5
2014-04-10,2093.5,3055
2014-04-11,2076.5,3038
2014-04-14,2101.5,3063
2014-04-15,2083.5,3045
2014-04-16,2123.5,3085
2014-04-17,2150.5,3112
2014-04-18,2150.5,3112
2014-04-21,2150.5,3112
2014-04-22,2179.5,3141
2014-04-23,2161.5,3123
2014-04-24,2157.25,3118.75
2014-04-25,2133.5,3095
2014-04-28,2140.5,3102
2014-04-29,2140.5,3102
2014-04-30,2193.5,3155
2014-05-01,2193.5,3155
2014-05-02,2171.5,3133
2014-05-05,2176.5,3138
2014-05-06,2145.5,3107
2014-05-07,2168.5,3130
2014-05-08,2196.5,3158
2014-05-09,2197.5,3159
2014-05-12,2223.5,3185
2014-05-13,2227.5,3189
2014-05-14,2219.5,3181
2014-05-15,2187.5,3149
2014-05-16,2197.5,3159
2014-05-19,2194.5,3156
2014-05-20,2186.5,3148
2014-05-21,2216.5,3178
2014-05-22,2216.5,3178
2014-05-23,2236.5,3198
2014-05-26,2267.5,3229
2014-05-27,2280,3241.5
2014-05-28,2275.5,3237
2014-05-29,2282.5,3244
2014-05-30,2284,3245.5
2014-06-02,2291.5,3253
2014-06-03,2275.5,3237
2014-06-04,2258.5,3220
2014-06-05,2311.5,3273
2014-06-06,2341.5,3303
2014-06-09,2350.5,3312
2014-06-10,2353.5,3315
2014-06-11,2325.5,3287
2014-06-12,2322.5,3280
2014-06-13,2322.5,3280
2014-06-16,2303.5,3261
2014-06-17,2311.5,3269
2014-06-18,2342.5,3300
2014-06-19,2357.5,3315
2014-06-20,2336.5,3294
2014-06-23,2327.5,3285
2014-06-24,2327,3284.5
2014-06-25,2301.5,3259
2014-06-26,2286.5,3244
2014-06-27,2277.5,3235
2014-06-30,2269.5,3227
2014-07-01,2296.5,3254
2014-07-02,2292.5,3250
2014-07-03,2308,3265.5
2014-07-04,2317.5,3275
2014-07-07,2277.5,3235
2014-07-08,2229.5,3187
2014-07-09,2250.5,3208
2014-07-10,2203.5,3161
2014-07-11,2203.5,3161
2014-07-14,2220.5,3178
2014-07-15,2205.5,3163
2014-07-16,2245.5,3203
2014-07-17,2178.5,3136
2014-07-18,2215.5,3173
2014-07-21,2189.5,3147
2014-07-22,2223.5,3181
2014-07-23,2234.5,3192
2014-07-24,2258.5,3216
2014-07-25,2218,3175.5
2014-07-28,2219.5,3177
2014-07-29,2234,3191.5
2014-07-30,2218,3175.5
2014-07-31,2183,3140.5
2014-08-01,2183,3140.5
2014-08-04,2183,3140.5
2014-08-05,2183,3140.5
2014-08-06,2085.5,3043
2014-08-07,2066,3023.5
2014-08-08,2039,2996.5
2014-08-11,2080.5,3038
2014-08-12,2071.5,3029
2014-08-13,2093.5,3051
2014-08-14,2106.5,3064
2014-08-15,2088.5,3046
2014-08-18,2121.5,3079
2014-08-19,2137.5,3095
2014-08-20,2129.5,3087
2014-08-21,2164.5,3122
2014-08-22,2141.5,3099
2014-08-25,2202.5,3160
2014-08-26,2232.5,3190
2014-08-27,2232.5,3190
2014-08-28,2208.5,3166
2014-08-29,2217.5,3175
2014-09-01,2214,3171.5
2014-09-02,2219.5,3177
2014-09-03,2256.5,3214
2014-09-04,2312.5,3270
2014-09-05,2330.5,3288
2014-09-08,2299.5,3257
2014-09-09,2281.5,3239
2014-09-10,2296.5,3254
2014-09-11,2283.5,3241
2014-09-12,2274.5,3232
2014-09-15,2279.5,3221
2014-09-16,2282.5,3224
2014-09-17,2288.5,3230
2014-09-18,2310.5,3252
2014-09-19,2310.5,3252
2014-09-22,2295.5,3237
2014-09-23,2255.5,3197
2014-09-24,2298.5,3240
2014-09-25,2245.5,3187
2014-09-26,2285.5,3227
2014-09-29,2239.5,3181
2014-09-30,2265.5,3207
2014-10-01,2230.5,3172
2014-10-02,2170.5,3112
2014-10-03,2199.5,3141
2014-10-06,2177,3118.5
2014-10-07,2104.5,3046
2014-10-08,2141.5,3083
2014-10-09,2062.5,3004
2014-10-10,2037.5,2979
2014-10-13,2019.5,2961
2014-10-14,2043.5,2985
2014-10-15,1959.5,2901
2014-10-16,1873,2814.5
2014-10-17,1988.5,2930
2014-10-20,1990.5,2932
2014-10-21,2055.5,2997
2014-10-22,2024.5,2966
2014-10-23,2084.5,3026
2014-10-24,2090.5,3032
2014-10-27,2057.5,2999
2014-10-28,2100.5,3042
2014-10-29,2071.5,3013
2014-10-30,2094.5,3036
2014-10-31,2167.5,3109
2014-11-03,2135.5,3077
2014-11-04,2100.5,3042
2014-11-05,2137.5,3079
2014-11-06,2160.5,3102
2014-11-07,2114.5,3056
2014-11-10,2144.5,3086
2014-11-11,2152.5,3094
2014-11-12,2110.5,3052
2014-11-13,2112.5,3054
2014-11-14,2106.5,3048
2014-11-17,2138.5,3080
2014-11-18,2180.5,3122
2014-11-19,2178.5,3120
2014-11-20,2153.5,3095
2014-11-21,2243.5,3185
2014-11-24,2274.5,3216
2014-11-25,2287.5,3229
2014-11-26,2288.5,3230
2014-11-27,2298.5,3240
2014-11-28,2298.5,3240
2014-12-01,2288.5,3230
2014-12-02,2303.5,3245
2014-12-03,2310.5,3252
2014-12-04,2263.5,3205
2014-12-05,2331.5,3273
2014-12-08,2292.5,3234
2014-12-09,2247.5,3189
2014-12-10,2189.5,3131
2014-12-11,2195.5,3137
2014-12-12,2099.5,3041
2014-12-15,2039.5,2977
2014-12-16,2063.5,3001
2014-12-17,2142.5,3080
2014-12-18,2233.5,3171
2014-12-19,2204.5,3142
2014-12-22,2228.5,3166
2014-12-23,2250.5,3188
2014-12-24,2250.5,3188
2014-12-25,2250.5,3188
2014-12-26,2250.5,3188
2014-12-29,2244.5,3182
2014-12-30,2190.5,3128
2014-12-31,2190.5,3128
2015-01-01,2190.5,3128
2015-01-02,2200.5,3138
2015-01-05,2083.5,3021
2015-01-06,2057.5,2995
2015-01-07,2114.5,3052
2015-01-08,2174.5,3112
2015-01-09,2109.5,3047
2015-01-12,2129.5,3067
2015-01-13,2161.5,3099
2015-01-14,2164.5,3102
2015-01-15,2202.5,3140
2015-01-16,2284.5,3222
2015-01-19,2282.5,3220
2015-01-20,2309.5,3247
2015-01-21,2331.5,3269
2015-01-22,2413.5,3351
2015-01-23,2430.5,3368
2015-01-26,2478.5,3416
2015-01-27,2438.5,3376
2015-01-28,2378.5,3316
2015-01-29,2458.5,3396
2015-01-30,2397.5,3335
2015-02-02,2456.5,3394
2015-02-03,2489.5,3427
2015-02-04,2437.5,3375
2015-02-05,2469.5,3407
2015-02-06,2436.5,3374
2015-02-09,2407.5,3345
2015-02-10,2456.5,3394
2015-02-11,2441.5,3379
2015-02-12,2501.5,3439
2015-02-13,2518.5,3456
