index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2014-03-13,,,,,,
2014-03-14,2950.0,20140900,2931.0,20140600,2950.0,20140900
2014-03-17,2929.0,20140900,2935.0,20140600,2929.0,20140900
2014-03-18,2977.0,20140900,2982.0,20140600,2977.0,20140900
2014-03-19,2999.0,20140900,,20140600,2999.0,20140900
2014-03-20,2981.0,20140900,2989.0,20140600,2981.0,20140900
2014-03-21,3010.0,20140900,3019.0,20140600,3010.0,20140900
2014-03-24,2995.0,20140900,3000.0,20140600,2995.0,20140900
2014-03-25,2977.0,20140900,,20140600,2977.0,20140900
2014-03-26,3035.0,20140900,3040.0,20140600,3035.0,20140900
2014-03-27,3047.0,20140900,3049.0,20140600,3047.0,20140900
2014-03-28,3058.0,20140900,3068.0,20140600,3058.0,20140900
2014-03-31,3090.0,20140900,3098.0,20140600,3090.0,20140900
2014-04-01,3091.0,20140900,3096.0,20140600,3091.0,20140900
2014-04-02,3118.0,20140900,3122.0,20140600,3118.0,20140900
2014-04-03,3121.0,20140900,3122.0,20140600,3121.0,20140900
2014-04-04,3133.0,20140900,3138.0,20140600,3133.0,20140900
2014-04-07,3156.0,20140900,,20140600,3156.0,20140900
2014-04-08,3110.0,20140900,3114.0,20140600,3110.0,20140900
2014-04-09,3103.0,20140900,,20140600,3103.0,20140900
2014-04-10,3111.0,20140900,,20140600,3111.0,20140900
2014-04-11,3050.0,20140900,3055.0,20140600,3050.0,20140900
2014-04-14,3031.0,20140900,3038.0,20140600,3031.0,20140900
2014-04-15,3059.0,20140900,3063.0,20140600,3059.0,20140900
2014-04-16,3041.0,20140900,3045.0,20140600,3041.0,20140900
2014-04-17,3080.0,20140900,3085.0,20140600,3080.0,20140900
2014-04-18,3112.0,20140900,3112.0,20140600,3112.0,20140900
2014-04-21,3112.0,20140900,3112.0,20140600,3112.0,20140900
2014-04-22,3112.0,20140900,3112.0,20140600,3112.0,20140900
2014-04-23,3136.0,20140900,3141.0,20140600,3136.0,20140900
2014-04-24,3117.0,20140900,3123.0,20140600,3117.0,20140900
2014-04-25,3122.0,20140900,,20140600,3122.0,20140900
2014-04-28,3087.0,20140900,3095.0,20140600,3087.0,20140900
2014-04-29,3100.0,20140900,,20140600,3100.0,20140900
2014-04-30,3145.0,20140900,,20140600,3145.0,20140900
2014-05-01,3149.0,20140900,3155.0,20140600,3149.0,20140900
2014-05-02,3149.0,20140900,3155.0,20140600,3149.0,20140900
2014-05-05,3126.0,20140900,3133.0,20140600,3126.0,20140900
2014-05-06,3132.0,20140900,3138.0,20140600,3132.0,20140900
2014-05-07,3103.0,20140900,3107.0,20140600,3103.0,20140900
2014-05-08,3124.0,20140900,3130.0,20140600,3124.0,20140900
2014-05-09,3151.0,20140900,3158.0,20140600,3151.0,20140900
2014-05-12,3151.0,20140900,3159.0,20140600,3151.0,20140900
2014-05-13,3178.0,20140900,3185.0,20140600,3178.0,20140900
2014-05-14,3185.0,20140900,3189.0,20140600,3185.0,20140900
2014-05-15,3179.0,20140900,3181.0,20140600,3179.0,20140900
2014-05-16,3144.0,20140900,3149.0,20140600,3144.0,20140900
2014-05-19,3153.0,20140900,3159.0,20140600,3153.0,20140900
2014-05-20,3149.0,20140900,3156.0,20140600,3149.0,20140900
2014-05-21,3135.0,20140900,3148.0,20140600,3135.0,20140900
2014-05-22,3174.0,20140900,3178.0,20140600,3174.0,20140900
2014-05-23,3171.0,20140900,3178.0,20140600,3171.0,20140900
2014-05-26,3192.0,20140900,3198.0,20140600,3192.0,20140900
