index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
1990-07-26,1.51,1.435,19901000,19900900
1990-07-27,1.5219999999999998,1.439,19901000,19900900
1990-07-30,1.518,1.43,19901000,19900900
1990-07-31,1.501,1.411,19901000,19900900
1990-08-01,1.492,1.402,19901000,19900900
1990-08-02,1.53,1.432,19901000,19900900
1990-08-03,1.615,1.51,19901000,19900900
1990-08-06,1.705,1.588,19901000,19900900
1990-08-07,1.605,1.4769999999999999,19901000,19900900
1990-08-08,1.565,1.475,19901000,19900900
1990-08-09,1.565,1.47,19901000,19900900
1990-08-10,1.595,1.49,19901000,19900900
1990-08-13,,,,
1990-08-14,1.575,1.4480000000000002,19901000,19900900
1990-08-15,1.54,1.4280000000000002,19901000,19900900
1990-08-16,1.545,1.43,19901000,19900900
1990-08-17,1.565,1.44,19901000,19900900
1990-08-20,1.547,1.4169999999999998,19901000,19900900
1990-08-21,1.557,1.42,19901000,19900900
1990-08-22,1.555,1.4280000000000002,19901000,19900900
1990-08-23,1.545,,19901000,19900900
1990-08-24,1.525,,19901000,19900900
1990-08-27,2.215,1.5019999999999998,19901200,19901000
1990-08-28,2.19,1.5,19901200,19901000
1990-08-29,2.1519999999999997,1.505,19901200,19901000
1990-08-30,2.197,1.537,19901200,19901000
1990-08-31,2.2,1.5,19901200,19901000
1990-09-03,,,,
1990-09-04,2.22,1.51,19901200,19901000
1990-09-05,2.24,1.514,19901200,19901000
1990-09-06,2.25,1.53,19901200,19901000
1990-09-07,2.235,1.51,19901200,19901000
1990-09-10,2.23,1.525,19901200,19901000
1990-09-11,2.227,1.525,19901200,19901000
1990-09-12,2.225,1.5430000000000001,19901200,19901000
1990-09-13,2.231,1.54,19901200,19901000
1990-09-14,2.24,1.52,19901200,19901000
1990-09-17,2.25,1.537,19901200,19901000
1990-09-18,2.25,1.56,19901200,19901000
1990-09-19,2.2319999999999998,1.555,19901200,19901000
1990-09-20,2.246,,19901200,19901000
1990-09-21,2.272,,19901200,19901000
1990-09-24,2.34,,19901200,19901000
1990-09-25,2.335,,19901200,19901000
1990-09-26,2.365,,19901200,19901000
1990-09-27,2.398,,19901200,19901000
1990-09-28,2.49,,19901200,19901000
1990-10-01,2.44,,19901200,19901000
1990-10-02,2.355,,19901200,19901000
1990-10-03,2.4290000000000003,,19901200,19901000
1990-10-04,2.468,,19901200,19901000
1990-10-05,2.525,,19901200,19901000
1990-10-08,2.55,,19901200,19901000
1990-10-09,2.572,,19901200,19901000
1990-10-10,2.525,,19901200,19901000
1990-10-11,2.51,,19901200,19901000
1990-10-12,2.506,,19901200,19901000
1990-10-15,2.417,,19901200,19901000
1990-10-16,2.435,,19901200,19901000
1990-10-17,2.395,,19901200,19901000
1990-10-18,2.404,,19901200,19901000
1990-10-19,2.37,,19901200,19901000
1990-10-22,2.37,,19901200,19901000
1990-10-23,2.52,,19901200,19901000
1990-10-24,2.44,,19901200,19901000
1990-10-25,2.708,2.4459999999999997,19910100,19901200
1990-10-26,2.735,2.448,19910100,19901200
1990-10-29,2.674,2.434,19910100,19901200
1990-10-30,2.71,2.408,19910100,19901200
1990-10-31,2.68,2.36,19910100,19901200
1990-11-01,2.66,2.35,19910100,19901200
1990-11-02,2.66,2.358,19910100,19901200
1990-11-05,2.693,2.385,19910100,19901200
1990-11-06,2.72,2.383,19910100,19901200
1990-11-07,2.785,2.45,19910100,19901200
1990-11-08,2.78,2.435,19910100,19901200
1990-11-09,2.76,2.4290000000000003,19910100,19901200
1990-11-12,2.75,2.41,19910100,19901200
1990-11-13,2.76,2.411,19910100,19901200
1990-11-14,2.76,2.428,19910100,19901200
1990-11-15,2.668,2.4,19910100,19901200
1990-11-16,2.625,2.335,19910100,19901200
1990-11-19,2.645,2.35,19910100,19901200
1990-11-20,2.63,2.38,19910100,19901200
1990-11-21,2.61,,19910100,19901200
1990-11-22,,,,
1990-11-23,2.605,,19910100,19901200
1990-11-26,2.6180000000000003,,19910100,19901200
1990-11-27,1.85,2.54,19910300,19910100
1990-11-28,1.8730000000000002,2.505,19910300,19910100
1990-11-29,1.874,2.49,19910300,19910100
1990-11-30,1.869,2.445,19910300,19910100
1990-12-03,1.87,2.475,19910300,19910100
1990-12-04,1.835,2.44,19910300,19910100
1990-12-05,1.765,2.4019999999999997,19910300,19910100
1990-12-06,1.72,2.351,19910300,19910100
1990-12-07,1.7,2.35,19910300,19910100
1990-12-10,1.745,2.355,19910300,19910100
1990-12-11,1.71,2.285,19910300,19910100
1990-12-12,1.696,2.204,19910300,19910100
1990-12-13,1.69,2.22,19910300,19910100
1990-12-14,1.69,2.262,19910300,19910100
1990-12-17,1.635,2.175,19910300,19910100
1990-12-18,1.6,2.046,19910300,19910100
1990-12-19,1.5819999999999999,2.046,19910300,19910100
1990-12-20,1.625,,19910300,19910100
1990-12-21,1.682,,19910300,19910100
1990-12-24,,,,
1990-12-25,,,,
1990-12-26,1.68,,19910300,19910100
1990-12-27,1.645,,19910300,19910100
1990-12-28,1.66,,19910300,19910100
1990-12-31,1.66,,19910300,19910100
1991-01-01,,,,
1991-01-02,1.59,,19910300,19910100
1991-01-03,1.597,,19910300,19910100
1991-01-04,1.57,,19910300,19910100
1991-01-07,1.59,,19910300,19910100
