instrument,multiplier,price,fx_rate,ann_std,rolls_per_year,SR_cost
SOYBEAN,50,1343.75,1,0.196958093056372,1,0.002525873867148
MILKWET,2000,21.83,1,0.171644799872954,12,0.187005255138671
CORN,50,682.25,1,0.202815529263473,1,0.002842842865764
BTP,1000,112.13,0.979675,0.136413977403937,4,0.001046825396186
BUND,1000,138.6,0.979675,0.093257828476031,4,0.001209782022044
US10,1000,112.484375,1,0.085547587766936,4,0.003030059181879
EDOLLAR,2500,96.265,1,0.015125395667407,4,0.005907820053988
CAC,10,5724.5,0.979675,0.188664077863849,12,0.000743689689418
DAX,1,12077,0.979675,0.206591816339454,4,0.001420759802414
NASDAQ,20,11155.25,1,0.253850769561861,4,0.000267595939281
NOK,2000000,0.09217,1,0.172471860775812,4,0.004044843548133
GOLD,100,1672.1,1,0.139581887673654,6,0.000947313753852
SILVER,1000,19.05,1,0.31985838827838,5,0.001959412793559
COPPER,25000,3.43,1,0.247962451359644,4,0.001112489127195
ETHANOL,29000,2.161,1,0.052823809585338,12,14.3768188525964
VIX,1000,29.7,1,0.327447327164166,12,0.005277419623568
