index,adjusted,underlying
1982-09-14,405.3999999999994,123.7
1982-09-15,405.8999999999994,124.2
1982-09-16,405.2499999999993,123.55
1982-09-17,404.3499999999994,122.65
1982-09-20,405.1499999999994,123.45
1982-09-21,408.0499999999994,126.35
1982-09-22,403.8999999999994,122.2
1982-09-23,405.4999999999993,123.8
1982-09-24,404.6499999999994,122.95
1982-09-27,405.7499999999993,124.05
1982-09-28,404.0499999999994,122.35
1982-09-29,401.6499999999994,119.95
1982-09-30,401.0499999999994,119.35
1982-10-01,401.8499999999994,120.15
1982-10-04,402.3999999999994,120.7
1982-10-05,402.2499999999993,120.55
1982-10-06,407.2499999999993,125.55
1982-10-07,411.8499999999994,130.15
1982-10-08,413.7999999999994,132.1
1982-10-11,417.4999999999993,135.8
1982-10-12,415.7499999999993,134.05
1982-10-13,419.3499999999994,137.65
1982-10-14,416.6499999999994,134.95
1982-10-15,416.9999999999993,135.3
1982-10-18,420.3999999999994,138.7
1982-10-19,419.0999999999994,137.4
1982-10-20,423.1499999999994,141.45
1982-10-21,422.7999999999994,141.1
1982-10-22,420.1499999999994,138.45
1982-10-25,415.1499999999994,133.45
1982-10-26,417.94999999999936,136.25
1982-10-27,416.8999999999994,135.2
1982-10-28,415.5999999999994,133.9
1982-10-29,416.2499999999993,134.55
1982-11-01,419.1499999999994,137.45
1982-11-02,420.5499999999994,138.85
1982-11-03,425.5499999999994,143.85
1982-11-04,425.7499999999993,144.05
1982-11-05,424.8999999999994,143.2
1982-11-08,423.8999999999994,142.2
1982-11-09,427.4999999999993,145.8
1982-11-10,423.3999999999994,141.7
1982-11-11,425.8499999999994,144.15
1982-11-12,422.4999999999993,140.8
1982-11-15,418.5999999999994,136.9
1982-11-16,418.3999999999994,136.7
1982-11-17,420.3999999999994,138.7
1982-11-18,420.8999999999994,139.2
1982-11-19,417.8999999999994,136.2
1982-11-22,414.3999999999994,132.7
1982-11-23,414.2499999999993,132.55
1982-11-24,415.4999999999993,133.8
1982-11-26,416.6499999999994,134.95
1982-11-29,415.3499999999994,133.65
1982-11-30,420.3499999999994,138.65
1982-12-01,419.7999999999994,138.1
1982-12-02,420.5499999999994,138.85
1982-12-03,420.8499999999994,139.15
1982-12-06,425.0499999999994,143.35
1982-12-07,425.44999999999936,143.75
1982-12-08,423.0499999999994,141.35
1982-12-09,421.3999999999994,139.7
1982-12-10,420.94999999999936,139.25
1982-12-13,422.19999999999936,140.5
1982-12-14,417.4999999999993,136.55
1982-12-15,416.9999999999993,136.05
1982-12-16,416.8999999999994,135.95
1982-12-17,419.4999999999993,138.55
1982-12-20,417.7999999999994,136.85
1982-12-21,421.7999999999994,140.85
1982-12-22,420.8999999999994,139.95
1982-12-23,421.69999999999936,140.75
1982-12-27,425.6499999999994,144.7
1982-12-28,423.19999999999936,142.25
1982-12-29,423.94999999999936,143.0
1982-12-30,422.0999999999994,141.15
1982-12-31,422.7499999999993,141.8
1983-01-03,419.94999999999936,139.0
1983-01-04,423.44999999999936,142.5
1983-01-05,423.8499999999994,142.9
1983-01-06,427.8999999999994,146.95
1983-01-07,427.94999999999936,147.0
1983-01-10,429.6499999999994,148.7
1983-01-11,428.8499999999994,147.9
1983-01-12,428.8999999999994,147.95
1983-01-13,429.0499999999994,148.1
1983-01-14,429.0499999999994,148.1
1983-01-17,429.3999999999994,148.45
