index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
1982-09-14,123.7,,19821200,19830300
1982-09-15,124.2,,19821200,19830300
1982-09-16,123.55,,19821200,19830300
1982-09-17,122.65,,19821200,19830300
1982-09-20,123.45,,19821200,19830300
1982-09-21,126.35,,19821200,19830300
1982-09-22,122.2,,19821200,19830300
1982-09-23,123.8,,19821200,19830300
1982-09-24,122.95,,19821200,19830300
1982-09-27,124.05,,19821200,19830300
1982-09-28,122.35,,19821200,19830300
1982-09-29,119.95,,19821200,19830300
1982-09-30,119.35,,19821200,19830300
1982-10-01,120.15,,19821200,19830300
1982-10-04,120.7,,19821200,19830300
1982-10-05,120.55,,19821200,19830300
1982-10-06,125.55,,19821200,19830300
1982-10-07,130.15,,19821200,19830300
1982-10-08,132.1,,19821200,19830300
1982-10-11,135.8,,19821200,19830300
1982-10-12,134.05,,19821200,19830300
1982-10-13,137.65,,19821200,19830300
1982-10-14,134.95,,19821200,19830300
1982-10-15,135.3,,19821200,19830300
1982-10-18,138.7,,19821200,19830300
1982-10-19,137.4,,19821200,19830300
1982-10-20,141.45,,19821200,19830300
1982-10-21,141.1,,19821200,19830300
1982-10-22,138.45,,19821200,19830300
1982-10-25,133.45,,19821200,19830300
1982-10-26,136.25,,19821200,19830300
1982-10-27,135.2,,19821200,19830300
1982-10-28,133.9,,19821200,19830300
1982-10-29,134.55,,19821200,19830300
1982-11-01,137.45,,19821200,19830300
1982-11-02,138.85,,19821200,19830300
1982-11-03,143.85,,19821200,19830300
1982-11-04,144.05,,19821200,19830300
1982-11-05,143.2,,19821200,19830300
1982-11-08,142.2,,19821200,19830300
1982-11-09,145.8,,19821200,19830300
1982-11-10,141.7,,19821200,19830300
1982-11-11,144.15,,19821200,19830300
1982-11-12,140.8,,19821200,19830300
1982-11-15,136.9,,19821200,19830300
1982-11-16,136.7,,19821200,19830300
1982-11-17,138.7,,19821200,19830300
1982-11-18,139.2,,19821200,19830300
1982-11-19,136.2,,19821200,19830300
1982-11-22,132.7,,19821200,19830300
1982-11-23,132.55,,19821200,19830300
1982-11-24,133.8,,19821200,19830300
1982-11-25,,,,
1982-11-26,134.95,,19821200,19830300
1982-11-29,133.65,,19821200,19830300
1982-11-30,138.65,,19821200,19830300
1982-12-01,138.1,138.9,19821200,19830300
1982-12-02,138.85,139.85,19821200,19830300
1982-12-03,139.15,140.0,19821200,19830300
1982-12-06,143.35,144.45,19821200,19830300
1982-12-07,143.75,144.6,19821200,19830300
1982-12-08,141.35,142.1,19821200,19830300
1982-12-09,139.7,140.3,19821200,19830300
1982-12-10,139.25,139.55,19821200,19830300
1982-12-13,140.5,141.25,19821200,19830300
1982-12-14,136.55,,19830300,19830600
1982-12-15,136.05,,19830300,19830600
1982-12-16,135.95,,19830300,19830600
1982-12-17,138.55,,19830300,19830600
1982-12-20,136.85,,19830300,19830600
1982-12-21,140.85,,19830300,19830600
1982-12-22,139.95,,19830300,19830600
1982-12-23,140.75,,19830300,19830600
1982-12-24,,,,
1982-12-27,144.7,,19830300,19830600
1982-12-28,142.25,,19830300,19830600
1982-12-29,143.0,,19830300,19830600
1982-12-30,141.15,,19830300,19830600
1982-12-31,141.8,,19830300,19830600
1983-01-03,139.0,,19830300,19830600
1983-01-04,142.5,,19830300,19830600
1983-01-05,142.9,,19830300,19830600
1983-01-06,146.95,,19830300,19830600
1983-01-07,147.0,,19830300,19830600
1983-01-10,148.7,,19830300,19830600
1983-01-11,147.9,,19830300,19830600
1983-01-12,147.95,,19830300,19830600
1983-01-13,148.1,,19830300,19830600
1983-01-14,148.1,,19830300,19830600
1983-01-17,148.45,,19830300,19830600
1983-01-18,148.35,,19830300,19830600
1983-01-19,146.25,,19830300,19830600
1983-01-20,147.65,,19830300,19830600
1983-01-21,143.9,,19830300,19830600
1983-01-24,141.65,,19830300,19830600
1983-01-25,142.2,,19830300,19830600
1983-01-26,142.15,,19830300,19830600
1983-01-27,146.3,,19830300,19830600
1983-01-28,145.35,,19830300,19830600
1983-01-31,147.2,,19830300,19830600
1983-02-01,143.25,,19830300,19830600
1983-02-02,144.05,,19830300,19830600
1983-02-03,144.9,,19830300,19830600
1983-02-04,148.4,,19830300,19830600
1983-02-07,148.55,,19830300,19830600
1983-02-08,146.15,,19830300,19830600
1983-02-09,146.15,,19830300,19830600
1983-02-10,150.0,,19830300,19830600
1983-02-11,148.8,,19830300,19830600
1983-02-14,150.95,,19830300,19830600
1983-02-15,149.35,,19830300,19830600
1983-02-16,148.25,,19830300,19830600
1983-02-17,149.05,,19830300,19830600
