index,adjusted,underlying
1982-08-30,-38.46092749999997,75.53125
1982-08-31,-38.74217749999997,75.25
1982-09-01,-38.33592749999997,75.65625
1982-09-02,-37.74217749999997,76.25
1982-09-03,-37.21092749999997,76.78125
1982-09-07,-37.39842749999997,76.59375
1982-09-08,-37.27342749999997,76.71875
1982-09-09,-37.42967749999997,76.5625
1982-09-10,-38.49217749999997,75.5
1982-09-13,-37.71092749999997,76.28125
1982-09-14,-37.64842749999997,76.34375
1982-09-15,-37.77342749999997,76.21875
1982-09-16,-37.92967749999997,76.0625
1982-09-17,-37.42967749999997,76.5625
1982-09-20,-37.24217749999997,76.75
1982-09-21,-35.92967749999997,78.0625
1982-09-22,-35.92967749999997,78.0625
1982-09-23,-35.55467749999997,78.4375
1982-09-24,-36.08592749999997,77.90625
1982-09-27,-36.02342749999997,77.96875
1982-09-28,-35.46092749999997,78.53125
1982-09-29,-35.52342749999997,78.46875
1982-09-30,-35.17967749999997,78.8125
1982-10-01,-34.24217749999997,79.75
1982-10-04,-35.55467749999997,78.4375
1982-10-05,-35.30467749999997,78.6875
1982-10-06,-34.42967749999997,79.5625
1982-10-07,-32.42967749999997,81.5625
1982-10-08,-31.992177499999965,82.0
1982-10-11,-29.992177499999965,84.0
1982-10-12,-30.085927499999965,83.90625
1982-10-13,-29.710927499999965,84.28125
1982-10-14,-30.679677499999965,83.3125
1982-10-15,-31.367177499999965,82.625
1982-10-18,-30.554677499999965,83.4375
1982-10-19,-30.179677499999965,83.8125
1982-10-20,-30.617177499999965,83.375
1982-10-21,-30.523427499999965,83.46875
1982-10-22,-31.210927499999965,82.78125
1982-10-25,-32.49217749999997,81.5
1982-10-26,-31.554677499999965,82.4375
1982-10-27,-31.898427499999965,82.09375
1982-10-28,-31.054677499999965,82.9375
1982-10-29,-30.335927499999965,83.65625
1982-11-01,-29.742177499999965,84.25
1982-11-03,-29.148427499999965,84.84375
1982-11-04,-28.992177499999965,85.0
1982-11-05,-29.460927499999965,84.53125
1982-11-08,-29.742177499999965,84.25
1982-11-09,-29.554677499999965,84.4375
1982-11-10,-29.492177499999965,84.5
1982-11-11,-30.117177499999965,83.875
1982-11-12,-29.773427499999965,84.21875
1982-11-15,-30.148427499999965,83.84375
1982-11-16,-30.679677499999965,83.3125
1982-11-17,-29.898427499999965,84.09375
1982-11-18,-29.367177499999965,84.625
1982-11-19,-29.273427499999965,84.71875
1982-11-22,-29.554677499999965,84.4375
1982-11-23,-29.929677499999965,84.0625
1982-11-24,-30.023427499999965,83.96875
1982-11-26,-30.429677499999965,83.5625
1982-11-29,-31.429677499999965,82.03125
1982-11-30,-31.335927499999965,82.125
1982-12-01,-31.242177499999965,82.21875
1982-12-02,-30.929677499999965,82.53125
1982-12-03,-29.804677499999965,83.65625
1982-12-06,-29.773427499999965,83.6875
1982-12-07,-29.867177499999965,83.59375
1982-12-08,-30.648427499999965,82.8125
1982-12-09,-30.460927499999965,83.0
1982-12-10,-31.117177499999965,82.34375
1982-12-13,-30.648427499999965,82.8125
1982-12-14,-30.085927499999965,83.375
1982-12-15,-30.242177499999965,83.21875
1982-12-16,-30.835927499999965,82.625
1982-12-17,-30.648427499999965,82.8125
1982-12-20,-30.835927499999965,82.625
1982-12-21,-29.804677499999965,83.65625
1982-12-22,-30.023427499999965,83.4375
1982-12-23,-29.585927499999965,83.875
1982-12-27,-29.179677499999965,84.28125
1982-12-28,-29.179677499999965,84.28125
1982-12-29,-29.429677499999965,84.03125
1982-12-30,-29.398427499999965,84.0625
1983-01-03,-28.585927499999965,84.875
1983-01-04,-28.898427499999965,84.5625
1983-01-05,-28.867177499999965,84.59375
1983-01-06,-28.992177499999965,84.46875
1983-01-07,-28.929677499999965,84.53125
1983-01-10,-28.867177499999965,84.59375
1983-01-11,-28.429677499999965,85.03125
1983-01-12,-28.335927499999965,85.125
1983-01-13,-28.242177499999965,85.21875
1983-01-14,-28.085927499999965,85.375
1983-01-17,-28.085927499999965,85.375
1983-01-18,-28.085927499999965,85.375
1983-01-19,-28.679677499999965,84.78125
1983-01-20,-28.835927499999965,84.625
1983-01-21,-29.710927499999965,83.75
1983-01-24,-30.242177499999965,83.21875
1983-01-25,-29.742177499999965,83.71875
1983-01-26,-30.117177499999965,83.34375
1983-01-27,-30.023427499999965,83.4375
1983-01-28,-30.242177499999965,83.21875
1983-01-31,-30.648427499999965,82.8125
1983-02-01,-30.554677499999965,82.90625
1983-02-02,-30.554677499999965,82.90625
1983-02-03,-30.929677499999965,82.53125
1983-02-04,-31.242177499999965,82.21875
1983-02-07,-31.023427499999965,82.4375
1983-02-08,-31.023427499999965,82.4375
1983-02-09,-31.085927499999965,82.375
1983-02-10,-30.398427499999965,83.0625
1983-02-11,-30.085927499999965,83.375
