index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2000-03-02,,,,,,
2000-03-03,,20000900,98.71875,20000600,,20000900
2000-03-06,,20000900,98.78125,20000600,,20000900
2000-03-07,,20000900,98.6796875,20000600,,20000900
2000-03-08,,20000900,98.7890625,20000600,,20000900
2000-03-09,,20000900,98.7734375,20000600,,20000900
2000-03-10,,20000900,98.8203125,20000600,,20000900
2000-03-13,,20000900,98.734375,20000600,,20000900
2000-03-14,,20000900,98.7734375,20000600,,20000900
2000-03-15,,20000900,98.875,20000600,,20000900
2000-03-16,,20000900,98.875,20000600,,20000900
2000-03-17,,20000900,98.921875,20000600,,20000900
2000-03-20,,20000900,98.921875,20000600,,20000900
2000-03-21,,20000900,98.8984375,20000600,,20000900
2000-03-22,,20000900,98.90625,20000600,,20000900
2000-03-23,,20000900,98.9375,20000600,,20000900
2000-03-24,,20000900,98.90625,20000600,,20000900
2000-03-27,,20000900,98.703125,20000600,,20000900
2000-03-28,,20000900,98.6875,20000600,,20000900
2000-03-29,,20000900,98.7265625,20000600,,20000900
2000-03-30,,20000900,98.7734375,20000600,,20000900
2000-03-31,,20000900,98.9609375,20000600,,20000900
2000-04-03,,20000900,98.984375,20000600,,20000900
2000-04-04,,20000900,99.0625,20000600,,20000900
2000-04-05,,20000900,99.4375,20000600,,20000900
2000-04-06,,20000900,99.328125,20000600,,20000900
2000-04-07,,20000900,99.2265625,20000600,,20000900
2000-04-10,,20000900,99.25,20000600,,20000900
2000-04-11,,20000900,99.3671875,20000600,,20000900
2000-04-12,,20000900,99.2734375,20000600,,20000900
2000-04-13,,20000900,99.1875,20000600,,20000900
2000-04-14,,20000900,99.265625,20000600,,20000900
2000-04-17,,20000900,99.3828125,20000600,,20000900
2000-04-18,,20000900,99.328125,20000600,,20000900
2000-04-19,,20000900,99.328125,20000600,,20000900
2000-04-20,,20000900,99.3671875,20000600,,20000900
2000-04-21,,20000900,99.28125,20000600,,20000900
2000-04-24,,20000900,99.28125,20000600,,20000900
2000-04-25,,20000900,99.2734375,20000600,,20000900
