index,underlying,adjusted
1989-05-31,97.578125,28.140618
1989-06-01,97.59375,28.156243
1989-06-02,98.484375,29.046868
1989-06-05,98.796875,29.359368
1989-06-06,98.8125,29.374993
1989-06-07,99.0625,29.624993
1989-06-08,99.171875,29.734368
1989-06-09,99.625,30.187493
1989-06-12,99.4375,29.999993
1989-06-13,98.9375,29.499993
1989-06-14,99.171875,29.734368
1989-06-15,98.71875,29.281243
1989-06-16,98.59375,29.156243
1989-06-19,98.546875,29.109368
1989-06-20,98.75,29.312493
1989-06-21,98.546875,29.109368
1989-06-22,98.453125,29.015618
1989-06-23,99.015625,29.578118
1989-06-26,99.25,29.812493
1989-06-27,99.53125,30.093743
1989-06-28,99.421875,29.984368
1989-06-29,99.796875,30.359368
1989-06-30,100,30.562493
1989-07-03,100.15625,30.718743
1989-07-04,,
1989-07-05,100.1875,30.749993
1989-07-06,100.421875,30.984368
1989-07-07,100.640625,31.203118
1989-07-10,100.71875,31.281243
1989-07-11,100.75,31.312493
1989-07-12,100.84375,31.406243
1989-07-13,100.859375,31.421868
1989-07-14,100.734375,31.296868
1989-07-17,100.609375,31.171868
1989-07-18,100.140625,30.703118
1989-07-19,100.46875,31.031243
1989-07-20,100.828125,31.390618
1989-07-21,100.453125,31.015618
1989-07-24,100.546875,31.109368
1989-07-25,100.890625,31.453118
1989-07-26,100.890625,31.453118
1989-07-27,101.390625,31.953118
1989-07-28,101.671875,32.234368
1989-07-31,101.875,32.437493
1989-08-01,102.046875,32.609368
1989-08-02,101.734375,32.296868
1989-08-03,101.390625,31.953118
1989-08-04,101.21875,31.781243
1989-08-07,100.25,30.812493
1989-08-08,100.265625,30.828118
1989-08-09,100.21875,30.781243
1989-08-10,100.25,30.812493
1989-08-11,99.625,30.187493
1989-08-14,98.9375,29.499993
1989-08-15,99.125,29.687493
1989-08-16,99.625,30.187493
1989-08-17,99.34375,29.906243
1989-08-18,99.34375,29.906243
1989-08-21,99,29.562493
1989-08-22,98.71875,29.281243
1989-08-23,98.890625,29.453118
1989-08-24,99.046875,29.609368
1989-08-25,98.96875,29.531243
1989-08-28,98.703125,29.265618
1989-08-29,98.8125,29.281243
1989-08-30,98.921875,29.390618
1989-08-31,98.890625,29.359368
1989-09-01,99.40625,29.874993
1989-09-04,,
1989-09-05,99.171875,29.640618
1989-09-06,99.1875,29.656243
1989-09-07,99.234375,29.703118
1989-09-08,99.375,29.843743
1989-09-11,99.609375,30.078118
1989-09-12,99.703125,30.171868
1989-09-13,99.65625,30.124993
1989-09-14,99.8125,30.281243
1989-09-15,99.96875,30.437493
1989-09-18,99.90625,30.374993
1989-09-19,99.890625,30.359368
1989-09-20,99.515625,29.984368
1989-09-21,99.234375,29.703118
1989-09-22,99.203125,29.671868
1989-09-25,98.734375,29.203118
1989-09-26,98.8125,29.281243
1989-09-27,98.78125,29.249993
1989-09-28,98.65625,29.124993
1989-09-29,98.546875,29.015618
1989-10-02,98.578125,29.046868
1989-10-03,98.90625,29.374993
1989-10-04,99.015625,29.484368
1989-10-05,99.203125,29.671868
1989-10-06,99.90625,30.374993
1989-10-09,100.171875,30.640618
1989-10-10,99.890625,30.359368
1989-10-11,99.71875,30.187493
1989-10-12,99.984375,30.453118
1989-10-13,100.25,30.718743
1989-10-16,100.21875,30.687493
1989-10-17,100.1875,30.656243
1989-10-18,100.1875,30.656243
1989-10-19,100.3125,30.781243
1989-10-20,100.171875,30.640618
1989-10-23,100.453125,30.921868
1989-10-24,100.875,31.343743
1989-10-25,100.828125,31.296868
1989-10-26,100.71875,31.187493
1989-10-27,100.46875,30.937493
1989-10-30,100.546875,31.015618
1989-10-31,100.546875,31.015618
1989-11-01,100.609375,31.078118
1989-11-02,100.734375,31.203118
1989-11-03,100.390625,30.859368
1989-11-06,100.078125,30.546868
1989-11-07,100.609375,31.078118
1989-11-08,100.859375,31.328118
1989-11-09,100.671875,31.140618
1989-11-10,100.65625,31.124993
1989-11-13,100.671875,31.140618
1989-11-14,100.84375,31.312493
1989-11-15,101.078125,31.546868
1989-11-16,101.078125,31.546868
1989-11-17,100.78125,31.249993
1989-11-20,100.796875,31.265618
1989-11-21,100.875,31.343743
1989-11-22,101.125,31.593743
1989-11-23,,
1989-11-24,101.234375,31.703118
