index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
1989-05-31,,,,
1989-06-01,97.578125,97.671875,19890900,19891200
1989-06-02,97.59375,97.6875,19890900,19891200
1989-06-05,98.484375,98.609375,19890900,19891200
1989-06-06,98.796875,98.921875,19890900,19891200
1989-06-07,98.8125,98.90625,19890900,19891200
1989-06-08,99.0625,99.15625,19890900,19891200
1989-06-09,99.171875,99.296875,19890900,19891200
1989-06-12,99.625,99.75,19890900,19891200
1989-06-13,99.4375,99.5625,19890900,19891200
1989-06-14,98.9375,99.0625,19890900,19891200
1989-06-15,99.171875,99.296875,19890900,19891200
1989-06-16,98.71875,98.859375,19890900,19891200
1989-06-19,98.59375,98.734375,19890900,19891200
1989-06-20,98.546875,98.6875,19890900,19891200
1989-06-21,98.75,98.890625,19890900,19891200
1989-06-22,98.546875,98.6875,19890900,19891200
1989-06-23,98.453125,98.59375,19890900,19891200
1989-06-26,99.015625,99.140625,19890900,19891200
1989-06-27,99.25,99.390625,19890900,19891200
1989-06-28,99.53125,99.671875,19890900,19891200
1989-06-29,99.421875,99.5625,19890900,19891200
1989-06-30,99.796875,99.921875,19890900,19891200
1989-07-03,100.0,100.125,19890900,19891200
1989-07-04,100.15625,100.28125,19890900,19891200
1989-07-05,100.15625,100.28125,19890900,19891200
1989-07-06,100.1875,100.3125,19890900,19891200
1989-07-07,100.421875,100.515625,19890900,19891200
1989-07-10,100.640625,100.703125,19890900,19891200
1989-07-11,100.71875,100.765625,19890900,19891200
1989-07-12,100.75,100.71875,19890900,19891200
1989-07-13,100.84375,100.796875,19890900,19891200
1989-07-14,100.859375,100.765625,19890900,19891200
1989-07-17,100.734375,100.65625,19890900,19891200
1989-07-18,100.609375,100.546875,19890900,19891200
1989-07-19,100.140625,100.09375,19890900,19891200
1989-07-20,100.46875,100.421875,19890900,19891200
1989-07-21,100.828125,100.78125,19890900,19891200
1989-07-24,100.453125,100.421875,19890900,19891200
1989-07-25,100.546875,100.53125,19890900,19891200
1989-07-26,100.890625,100.84375,19890900,19891200
1989-07-27,100.890625,100.84375,19890900,19891200
1989-07-28,101.390625,101.359375,19890900,19891200
1989-07-31,101.671875,101.609375,19890900,19891200
1989-08-01,101.875,101.84375,19890900,19891200
1989-08-02,102.046875,102.015625,19890900,19891200
1989-08-03,101.734375,101.65625,19890900,19891200
1989-08-04,101.390625,101.296875,19890900,19891200
1989-08-07,101.21875,100.125,19890900,19891200
1989-08-08,100.25,100.1875,19890900,19891200
1989-08-09,100.265625,100.21875,19890900,19891200
1989-08-10,100.21875,100.171875,19890900,19891200
1989-08-11,100.25,100.25,19890900,19891200
1989-08-14,99.625,99.625,19890900,19891200
1989-08-15,98.9375,98.9375,19890900,19891200
1989-08-16,99.125,99.125,19890900,19891200
1989-08-17,99.625,99.609375,19890900,19891200
1989-08-18,99.34375,99.3125,19890900,19891200
1989-08-21,99.34375,99.3125,19890900,19891200
1989-08-22,99.0,98.96875,19890900,19891200
1989-08-23,98.71875,98.71875,19890900,19891200
1989-08-24,98.890625,98.890625,19890900,19891200
1989-08-25,99.046875,99.078125,19890900,19891200
1989-08-28,98.96875,99.0,19890900,19891200
1989-08-29,98.703125,98.796875,19890900,19891200
1989-08-30,98.8125,,19891200,19900300
1989-08-31,98.921875,,19891200,19900300
1989-09-01,98.890625,,19891200,19900300
1989-09-04,99.40625,,19891200,19900300
1989-09-05,99.40625,,19891200,19900300
1989-09-06,99.171875,,19891200,19900300
1989-09-07,99.1875,,19891200,19900300
1989-09-08,99.234375,,19891200,19900300
1989-09-11,99.375,,19891200,19900300
1989-09-12,99.609375,,19891200,19900300
1989-09-13,99.703125,,19891200,19900300
1989-09-14,99.65625,,19891200,19900300
1989-09-15,99.8125,,19891200,19900300
1989-09-18,99.96875,,19891200,19900300
1989-09-19,99.90625,,19891200,19900300
1989-09-20,99.890625,,19891200,19900300
1989-09-21,99.515625,,19891200,19900300
1989-09-22,99.234375,99.265625,19891200,19900300
1989-09-25,99.203125,99.234375,19891200,19900300
1989-09-26,98.734375,98.765625,19891200,19900300
1989-09-27,98.8125,98.84375,19891200,19900300
1989-09-28,98.78125,98.8125,19891200,19900300
1989-09-29,98.65625,98.6875,19891200,19900300
1989-10-02,98.546875,98.609375,19891200,19900300
1989-10-03,98.578125,98.640625,19891200,19900300
1989-10-04,98.90625,98.96875,19891200,19900300
1989-10-05,99.015625,99.078125,19891200,19900300
1989-10-06,99.203125,99.265625,19891200,19900300
1989-10-09,99.90625,99.96875,19891200,19900300
1989-10-10,100.171875,100.234375,19891200,19900300
1989-10-11,99.890625,99.953125,19891200,19900300
1989-10-12,99.71875,99.75,19891200,19900300
1989-10-13,99.984375,99.09375,19891200,19900300
1989-10-16,100.25,100.125,19891200,19900300
1989-10-17,100.21875,100.21875,19891200,19900300
1989-10-18,100.1875,100.1875,19891200,19900300
1989-10-19,100.1875,100.1875,19891200,19900300
