index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
2006-11-13,,,,
2006-11-14,13.7,13.17,20070300,20070200
2006-11-15,13.65,13.06,20070300,20070200
2006-11-16,13.54,12.93,20070300,20070200
2006-11-17,13.38,12.9,20070300,20070200
2006-11-20,13.44,12.94,20070300,20070200
2006-11-21,13.43,13.09,20070300,20070200
2006-11-22,13.5,13.31,20070300,20070200
2006-11-23,13.73,13.5,20070300,20070200
2006-11-24,13.73,13.5,20070300,20070200
2006-11-27,14.0,13.52,20070300,20070200
2006-11-28,14.32,13.98,20070300,20070200
2006-11-29,14.15,13.68,20070300,20070200
2006-11-30,13.89,13.44,20070300,20070200
2006-12-01,13.83,13.28,20070300,20070200
2006-12-04,13.95,13.5,20070300,20070200
2006-12-05,13.81,13.22,20070300,20070200
2006-12-06,13.67,13.24,20070300,20070200
2006-12-07,13.68,13.26,20070300,20070200
2006-12-08,13.82,13.54,20070300,20070200
2006-12-11,13.73,13.32,20070300,20070200
2006-12-12,13.65,13.32,20070300,20070200
2006-12-13,14.1,14.0,20070400,20070300
2006-12-14,14.1,13.89,20070400,20070300
2006-12-15,14.21,13.85,20070400,20070300
2006-12-18,14.26,14.02,20070400,20070300
2006-12-19,14.36,14.02,20070400,20070300
2006-12-20,14.27,13.9,20070400,20070300
2006-12-21,14.31,13.92,20070400,20070300
2006-12-22,14.38,14.05,20070400,20070300
2006-12-25,14.44,14.25,20070400,20070300
2006-12-26,14.44,14.25,20070400,20070300
2006-12-27,14.46,13.87,20070400,20070300
2006-12-28,14.44,13.79,20070400,20070300
2006-12-29,14.46,13.93,20070400,20070300
2007-01-01,14.53,14.06,20070400,20070300
2007-01-02,14.53,14.06,20070400,20070300
2007-01-03,14.53,14.06,20070400,20070300
2007-01-04,14.53,14.06,20070400,20070300
2007-01-05,14.36,13.66,20070400,20070300
2007-01-08,14.39,13.83,20070400,20070300
2007-01-09,14.34,13.93,20070400,20070300
2007-01-10,14.36,13.88,20070400,20070300
2007-01-11,14.32,13.9,20070400,20070300
